Index,Age,Ethnicities,Wait Time,All Patient States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
137,6-10 Years,All Ethnicities,2 Years to < 3 Years,49,0,0,1,0,10,0,0,0,0,3,3,0,0,4,0,0,2,1,0,0,5,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,2,5,0,0,2,1,0,1,0
138,6-10 Years,All Ethnicities,3 Years to < 5 Years,65,0,0,0,0,16,0,0,0,0,2,2,1,0,5,0,0,3,0,0,0,0,2,5,1,0,1,0,0,1,0,0,0,6,1,0,3,0,0,3,0,0,0,1,4,2,0,2,3,0,1,0
139,6-10 Years,All Ethnicities,5 or More Years,77,0,0,0,1,13,0,0,0,0,0,2,1,0,3,5,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,2,0,4,1,0,1,1,0,14,0,3,0,0,10,0,0,4,2,0,1,0
190,11-17 Years,All Ethnicities,All Time,968,12,1,14,5,225,13,6,3,2,35,30,4,0,44,6,3,5,10,16,3,15,17,10,29,5,7,1,6,4,6,37,6,71,30,4,29,5,5,33,1,10,0,9,57,11,1,51,31,8,12,3
191,11-17 Years,All Ethnicities,< 30 Days,57,0,0,1,0,9,2,1,1,0,3,1,0,0,2,1,0,0,0,2,0,0,0,2,1,2,1,0,1,0,1,3,1,1,3,0,1,0,0,1,0,1,0,2,5,1,0,0,1,0,1,1
192,11-17 Years,All Ethnicities,30 to < 90 Days,139,4,0,3,0,22,0,2,0,0,6,4,1,0,5,3,0,1,3,1,1,2,3,2,3,0,1,1,1,0,1,4,2,10,4,0,5,0,0,8,0,2,0,0,14,2,0,7,2,0,2,0
193,11-17 Years,All Ethnicities,90 Days to < 6 Months,121,2,0,2,2,18,4,1,0,0,1,5,0,0,5,0,1,0,1,2,1,2,2,1,5,0,1,0,0,2,2,6,1,10,6,1,3,0,0,3,0,2,0,0,7,2,0,9,3,5,1,2
194,11-17 Years,All Ethnicities,6 Months to < 1 Year,168,4,0,3,1,36,5,0,0,1,6,5,1,0,6,1,2,1,1,3,0,3,1,1,7,1,2,0,0,1,1,7,0,14,6,1,11,0,1,9,0,1,0,2,7,2,0,4,6,0,3,0
195,11-17 Years,All Ethnicities,1 Year to < 2 Years,177,1,1,4,1,43,1,1,0,1,6,6,2,0,12,1,0,0,2,3,1,4,5,0,5,1,1,0,0,1,0,7,0,10,6,0,6,1,1,5,1,4,0,3,8,2,1,5,8,2,4,0
196,11-17 Years,All Ethnicities,2 Years to < 3 Years,94,0,0,0,1,23,1,0,0,0,7,1,0,0,4,0,0,1,1,1,0,0,3,1,3,0,1,0,3,0,1,2,2,10,2,1,2,1,2,2,0,0,0,1,6,1,0,8,1,1,0,0
